tier,path,bytes,mtime,tracked_citations,untracked_citation_count,cited_by_tracked
A,dottalkpp/data/scripts/commit_rollback_test.dts,147,2026-02-08,6,1,docs/maintenance/BETA1_STABILIZATION_REGRESSION_LANE_V1.md; docs/maintenance/SESSION_HANDOFF_2026-07-21_CLAUDE_COWORK.md; docs/maintenance/SQLSEL_PDLC_LANE_V1.md; src/AIPortal/sessions/2026-07-21_claude_recno64_indextxn_onboarding/DTS_AUTHORING_AND_DATA_ENV_RULES_V1_20260721.md; src/AIPortal/sessions/2026-07-21_claude_recno64_indextxn_onboarding/cmd_regression.cpp.INDEX_TXN.d8123d2a4.patch; src/cli/cmd_regression.cpp
A,dottalkpp/data/scripts/limits/limits_record_advisory_shakedown.dts,2685,2026-07-19,2,0,docs/maintenance/SESSION_CLOSEOUT_ENGINE_LIMITS_AND_CORRECTIONS_2026-07-19.md; src/tests/test_x64_record_limit.cpp
A,dottalkpp/data/scripts/pinocchio/wal_phaseA_proof.dts,3116,2026-08-12,4,0,docs/maintenance/BETA1_STABILIZATION_REGRESSION_LANE_V1.md; docs/maintenance/TABLE_BUFFER_WAL_DESIGN_2026-07-19.md; src/AIPortal/sessions/2026-07-21_claude_recno64_indextxn_onboarding/cmd_regression.cpp.INDEX_TXN.d8123d2a4.patch; src/cli/cmd_regression.cpp
A,dottalkpp/data/scripts/suites/commit_rollback_test.dts,157,2026-07-06,6,1,docs/maintenance/BETA1_STABILIZATION_REGRESSION_LANE_V1.md; docs/maintenance/SESSION_HANDOFF_2026-07-21_CLAUDE_COWORK.md; docs/maintenance/SQLSEL_PDLC_LANE_V1.md; src/AIPortal/sessions/2026-07-21_claude_recno64_indextxn_onboarding/DTS_AUTHORING_AND_DATA_ENV_RULES_V1_20260721.md; src/AIPortal/sessions/2026-07-21_claude_recno64_indextxn_onboarding/cmd_regression.cpp.INDEX_TXN.d8123d2a4.patch; src/cli/cmd_regression.cpp
A,dottalkpp/data/scripts/x32.dts,50,2026-04-25,8,4,docs/ai-friendly/AI_FRIENDLY_DASHBOARD_V1.md; docs/ai-friendly/AI_INTERACTION_INTAKE_QUEUE_V1.md; docs/maintenance/AIF145_FINDING_FOUR_LADDERS_RESOLVE_ONE_WORKSPACE_NAME_V1.md; docs/maintenance/ARCTICTALK_MENU_REGRESSION_ENVIRONMENT_PREFLIGHT_2026-07-22.md; docs/maintenance/ARCTICTALK_RETRO_TUI_WORKBENCH_LANE_V1.md; docs/maintenance/SESSION_CLOSEOUT_ARCTICTALK_REGRESSION_ENVIRONMENT_MENU_2026-07-22.md
A,dottalkpp/data/scripts/x64.dts,73,2026-06-22,14,2,docs/WORKFLOW_RUNBOOK_v1.md; docs/ai-friendly/AI_FRIENDLY_DASHBOARD_V1.md; docs/getting-started/POSIX_WSL_QUICKSTART.md; docs/maintenance/AIF120_DOTSCRIPT_V1.md; docs/maintenance/AIF120_FIXTURE_CORPUS_V1.md; docs/maintenance/AIF120_ORDER_VOCABULARY_V1.md
B,dottalkpp/data/scripts/SYSTEM_METADATA_BOOLEAN_FIX.dts,134,2026-06-26,2,3,tests/manual/dotscript/README.md; tests/manual/dotscript/quarantine/SYSTEM_METADATA_BOOLEAN_FIX.dts
B,dottalkpp/data/scripts/SYSTEM_METADATA_SEED_v1.dts,9231,2026-06-26,1,5,tests/manual/dotscript/metadata/legacy/SYSTEM_METADATA_SEED_v1.dts
B,dottalkpp/data/scripts/SYSTEM_METADATA_SEED_v2.dts,10134,2026-06-26,2,7,tests/manual/dotscript/README.md; tests/manual/dotscript/metadata/SYSTEM_METADATA_SEED_v2.dts
B,dottalkpp/data/scripts/SYSTEM_METADATA_VALIDATE.dts,128,2026-06-26,1,3,tests/manual/dotscript/metadata/SYSTEM_METADATA_VALIDATE.dts
