command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
ABOUT,src/cli/cmd_about.cpp,DOT|ABOUT,report,supported,report,none,ABOUT USAGE,"Print DotTalk++ project identity, lineage, author, runtime environment, and
  current session summary.","ABOUT
  ABOUT USAGE",,"ABOUT with no arguments prints the full project/runtime report.
  ABOUT USAGE prints command usage only.
  ABOUT is read-only and does not mutate table data or session state.",,"VERSION
  SQLVER","src/cli/cmd_about.cpp
ABOUT
Print project identity, lineage, author, history, and runtime environment."
AGGS,src/cli/cmd_aggs.cpp,DOT|AGGS,aggregate,supported,report,cursor,AGGS USAGE,"AGGS is the aggregate family/owner for the direct aggregate verbs
  SUM, AVG, MIN, and MAX.","AGGS USAGE
  SUM USAGE
  SUM <value_expr> [FOR <pred>] [WHERE <pred>] [DELETED|NOT DELETED|!DELETED]
  AVG USAGE
  AVG <value_expr> [FOR <pred>] [WHERE <pred>] [DELETED|NOT DELETED|!DELETED]
  MIN USAGE
  MIN <value_expr> [FOR <pred>] [WHERE <pred>] [DELETED|NOT DELETED|!DELETED]
  MAX USAGE
  MAX <value_expr> [FOR <pred>] [WHERE <pred>] [DELETED|NOT DELETED|!DELETED]",,"AGGS with no arguments prints aggregate-family usage.
  SUM, AVG, MIN, and MAX are the direct aggregate verbs; AGGS owns the aggregate family.
  Persistent SET FILTER and optional FOR/WHERE predicates both participate in visibility.
  Cursor position is restored best-effort after the aggregate scan.
  Aggregate commands report values; they do not mutate table data.",,"COUNT
  WHERE
  SETFILTER","Key behavior:
  - If <value_expr> compiles to a numeric program (LitNumber or Arith), use it.
  - Else, if <value_expr> is a simple identifier matching a field name,
    read that field directly and parse as double (FoxPro-ish SUM <field>).
Filtering model:
  - persistent SET FILTER is part of the logical rowset
  - optional FOR/WHERE predicate is additionally applied
  - optional DELETED / NOT DELETED / !DELETED suffix
Cursor cohesion:
  - save/restore recno()
Relation refresh suppression during full scan:
  - shell_rel_refresh_push/pop"
APPEND,src/cli/cmd_append.cpp,DOT|APPEND,data,supported,mutate,table-data index memo record-pointer,APPEND USAGE,"Append one or more blank records to the current table, using smart append
  paths that maintain keys and active indexes, or raw append paths when requested.","APPEND USAGE
  APPEND
  APPEND <count>
  APPEND MANY <count>
  APPEND RAW
  APPEND RAW MANY <count>",,"APPEND with no arguments appends one blank record through the shared smart append path.
  APPEND <count> is shorthand for APPEND MANY <count>.
  APPEND MANY <count> performs smart batch append under one lock.
  APPEND RAW appends one record without inline index update.
  APPEND RAW MANY <count> performs raw batch append under one lock.
  Count values must be positive integers.
  APPEND is a table-data mutation command; do not classify it as read-only.",,"APPEND_BLANK
  REPLACE
  MULTIREP
  TABLE
  COMMIT","Supported forms:
  APPEND
  APPEND RAW
  APPEND MANY <count>
  APPEND RAW MANY <count>
  APPEND <count>
Behavior:
  APPEND              -> smart append (keys + inline active index update)
  APPEND RAW          -> raw one-record append (keys, no inline index update)
  APPEND MANY <n>     -> smart batch append under one lock
  APPEND RAW MANY <n> -> raw batch append under one lock
  APPEND <n>          -> shorthand for APPEND MANY <n>"
APPEND_BLANK,src/cli/cmd_append_blank.cpp,DOT|APPEND_BLANK,data,supported,mutate,table-data index memo record-pointer,APPEND_BLANK USAGE,"Append one blank record using the shared append support path so APPEND
  and APPEND BLANK behavior stay aligned.","APPEND_BLANK USAGE
  APPEND_BLANK
  APPEND BLANK",,"APPEND_BLANK with no arguments appends one blank record.
  APPEND BLANK is the friendly command spelling when routed by the dispatcher.
  The implementation delegates to dottalk_append_blank_core.
  APPEND_BLANK is a table-data mutation command; do not classify it as read-only.",,"APPEND
  REPLACE
  TABLE
  COMMIT","src/cli/cmd_append_blank.cpp — APPEND BLANK
Delegates to shared append support so APPEND and APPEND BLANK stay aligned."
AREA,src/cli/cmd_area.cpp,DOT|AREA,workspace,supported,report,no,AREA USAGE,Report the current work-area slot and current area file/session state.,"AREA
  AREA USAGE",,"AREA with no arguments reports the current work-area number, open file,
  record count, current record, DBF flavor, runtime kind, logical name,
  absolute path, and active order/index line.
  AREA is read-only; it reports current area state and does not mutate table data.",,"DBAREA
  DBAREAS
  STATUS
  STRUCT
  WORKSPACE",src/cli/cmd_area.cpp
ASCEND,src/cli/cmd_ascend.cpp,DOT|ASCEND,index,supported,configure,order-state,ASCEND USAGE,Set the active order/tag direction to ascending for the current work area.,"ASCEND
  ASCEND USAGE",,"ASCEND requires an active order except for ASCEND USAGE.
  ASCEND with no arguments mutates order direction to ascending.
  ASCEND does not mutate table records or rebuild indexes.",,"DESCEND
  SET ORDER
  ORDER",
ASCEND/DESCEND,src/cli/cmd_order.cpp,DOT|ORDER_IMPL,order-helper,implementation-helper,order-support,none-here,owned-by ASCEND/DESCEND command handlers,Consolidated order helper/prototype translation unit for ASCEND/DESCEND.,"This file is not the SET ORDER or ORDER command owner.
  User-visible ASCEND/DESCEND usage is owned by their command handlers.",,"The file is intentionally low-behavior in this source drop.
  Keep active-order mutation in the actual command handlers/order_state layer.",,,"cmd_order.cpp ? consolidated ASCEND and DESCEND commands
Safe to build even if indexing isn't wired yet."
ASCII,src/edu/edu_ascii_table.cpp,EDU|ASCII,education-reference,supported,report,none,ASCII USAGE,Print ASCII/extended ASCII reference tables and selected ranges.,"ASCII USAGE
  ASCII
  ASCII ASCII
  ASCII EXT
  ASCII PRINT
  ASCII CTRL
  ASCII RANGE <lo> <hi>","ASCII
  ASCII ASCII
  ASCII EXT
  ASCII RANGE 32 126","ASCII USAGE/HELP/? prints usage and does not emit table rows.
  This command is read-only reference output.
  The older source comment name ""EDU ASCII TABLE"" is not the registered
  command surface in the current runtime.",,,
AUTODBF,src/cli/cmd_autodbf.cpp,DOT|AUTODBF,io schema,experimental,create import,filesystem session schema table-data cursor,AUTODBF USAGE,"Create an X64 DBF from a CSV file and import the CSV rows into the newly
  created table.  CSV headers may become field names; when there is no header,
  deterministic FIELDnnn names are generated.","AUTODBF USAGE
  AUTODBF <table> FROM <csvfile>
  AUTODBF X64 <table> FROM <csvfile>
  AUTODBF <table> FROM <csvfile> HEADER
  AUTODBF <table> FROM <csvfile> NOHEADER
  AUTODBF <table> FROM <csvfile> AUTO
  AUTODBF <table> FROM <csvfile> TEXTONLY
  AUTODBF <table> FROM <csvfile> INFER
  AUTODBF <table> FROM <csvfile> OVERWRITE",,"AUTODBF defaults to X64, AUTO header detection, INFER types, comma CSV.
  AUTO is conservative: it chooses HEADER only when the first row looks like
  names and later data strongly indicates typed data.  Use HEADER or NOHEADER
  to remove ambiguity.
  Field names are normalized to command-safe x64 logical names, uniquified,
  capped to the current x64 logical-name limit, and then passed through the
  existing x64 descriptor fallback/mangling policy.
  Long text is not auto-promoted to M yet; values must fit current fixed-field
  x64base limits.  This avoids silently writing memo object id 0.
  Existing target DBFs are not overwritten unless OVERWRITE is supplied.",,"CREATE
  IMPORT
  IMPORTSQL
  SETPATH
  STRUCT",
BANG,src/cli/cmd_bang.cpp,DOT|BANG,shell,supported,execute,external-process delegates-command-effects,BANG USAGE,Launch the host operating-system shell or execute a host shell command.,"BANG
  BANG USAGE
  BANG <command>
  !
  ! <command>",,"BANG with no arguments opens an interactive host shell.
  BANG <command> executes the host command and returns.
  The exclamation mark is a shell shortcut/alias for BANG.
  BANG USAGE prints usage and does not launch a shell.
  BANG may indirectly read, write, delete, or execute anything the host shell command does.",,"PSHELL
  SFTP
  WEB",
BBOX,src/cli/cmd_bbox.cpp,DOT|BBOX,education,experimental,report,none,no-open-table,Teach and inspect the Blackbox model: data enters a processing system and information comes out.,"BBOX
BBOX USAGE
BBOX MODEL
BBOX LANES
BBOX COMMENTS
BBOX HELP
BBOX MANUALGEN
BBOX DATADICT
BBOX MESSAGING
BBOX MAINT",,,,,"cmd_bbox.cpp
DotTalk++ native Blackbox educational command surface."
BELL,src/cli/cmd_bell.cpp,DOT|BELL,ui,supported,configure,bell-setting audible-notification,BELL USAGE,"Ring the bell when enabled, or turn the shell bell setting on or off.","BELL
  BELL USAGE
  BELL ON
  BELL OFF",,"BELL with no arguments rings the bell when bell is ON; otherwise reports that bell is OFF.
  BELL ON enables the bell and rings it once.
  BELL OFF disables the bell.
  BELL mutates only the shell bell setting and audible notification state.",,"SET
  COLOR",
