ATTRID,OBJID,ATTRNAME,ATTRVAL,ATTRMEMO,EVID
ATTR_A9A0F923A4963608A82D,OBJ_A05DB9F99A7AD6B36069,primary_key,RUNID,,
ATTR_4059EBBFA7545B1070AA,OBJ_A05DB9F99A7AD6B36069,purpose,Data Dictionary run/baseline/check record,Data Dictionary run/baseline/check record,
ATTR_0CC2B28FA9F269E3CE99,OBJ_E5DD5DB46A44911D24C7,primary_key,BASEID,,
ATTR_DC3A89897F56A8F76573,OBJ_E5DD5DB46A44911D24C7,purpose,Accepted baseline record and fingerprint,Accepted baseline record and fingerprint,
ATTR_F88EFE82FE9E9B1A19B3,OBJ_3122F33830CB2DB8DCBE,primary_key,SRCID,,
ATTR_2C1612956CAF2B54AC87,OBJ_3122F33830CB2DB8DCBE,purpose,Evidence source file/artifact identity,Evidence source file/artifact identity,
ATTR_87EA74553C0A5C2B0C67,OBJ_F145DDC879A1964EB5D0,primary_key,OBJID,,
ATTR_FE3BCE06E5D417668413,OBJ_F145DDC879A1964EB5D0,purpose,"Catalog object: command, table, field, script, help topic, artifact","Catalog object: command, table, field, script, help topic, artifact",
ATTR_48B896FFF8A09123A612,OBJ_57266DFAD7BF21A758E2,primary_key,ATTRID,,
ATTR_4C1644DCD9B36FB3B6AC,OBJ_57266DFAD7BF21A758E2,purpose,Flexible object attributes from evidence,Flexible object attributes from evidence,
ATTR_075AF68E86CAEF8A86F8,OBJ_D5E236EFEE19CF302007,primary_key,EDGEID,,
ATTR_B283A8F4CD38ED5DF4A3,OBJ_D5E236EFEE19CF302007,purpose,Relationship between catalog objects,Relationship between catalog objects,
ATTR_DD7D28D242EBD6F9C981,OBJ_5D7F72EAF174C4798A0E,primary_key,EVID,,
ATTR_281C2F246AEE95668118,OBJ_5D7F72EAF174C4798A0E,purpose,Evidence row linking catalog objects to source/proof artifacts,Evidence row linking catalog objects to source/proof artifacts,
ATTR_C32FCAECA18C6DC1FAAF,OBJ_BEEBBBB7C3B6C1ECE4D2,primary_key,GATEID,,
ATTR_514F8256D65BC091F088,OBJ_BEEBBBB7C3B6C1ECE4D2,purpose,Gate/check result rows,Gate/check result rows,
ATTR_82E197FE3569DF01EA03,OBJ_92D957D39F59C251F128,primary_key,REVID,,
ATTR_EBC46597313FCB7417B0,OBJ_92D957D39F59C251F128,purpose,"Review, triage, disposition, and promotion-readiness rows","Review, triage, disposition, and promotion-readiness rows",
ATTR_71CFD369AF9C6D0DE529,OBJ_92818B77DFCD62590870,primary_key,ARTID,,
ATTR_8EDB6E4F7B5E4D3BFF6C,OBJ_92818B77DFCD62590870,purpose,Generated/accepted artifact inventory,Generated/accepted artifact inventory,
ATTR_1C35ABD7C7CB55BDC646,OBJ_EBCCC0F457303F2D5649,primary_key,PROFID,,
ATTR_7CBBF90F77B447A69903,OBJ_EBCCC0F457303F2D5649,purpose,Profile/scope boundary rows such as ENGINE/PROFESSIONAL/overlay,Profile/scope boundary rows such as ENGINE/PROFESSIONAL/overlay,
ATTR_6C3858275254A78CBEDB,OBJ_25BD3AA912441E7C5E54,type,C,C,
ATTR_54B83C2A174D7AB1AED7,OBJ_25BD3AA912441E7C5E54,width,48,48,
ATTR_E5B5F0D390A47A84C34A,OBJ_25BD3AA912441E7C5E54,decimals,0,0,
ATTR_4E0341A13B5A6154D82C,OBJ_25BD3AA912441E7C5E54,required,1,1,
ATTR_40523C990F4780BABE76,OBJ_25BD3AA912441E7C5E54,description,Stable run id,Stable run id,
ATTR_9A584F163BC3185A9346,OBJ_232B9A192CA969F9B6DC,type,C,C,
ATTR_A2EE67BCB59750A851C2,OBJ_232B9A192CA969F9B6DC,width,24,24,
ATTR_961EAFD5A6004ADE2696,OBJ_232B9A192CA969F9B6DC,decimals,0,0,
ATTR_47E507CBCCA223D391F1,OBJ_232B9A192CA969F9B6DC,required,1,1,
ATTR_96F1041316632A9FDD60,OBJ_232B9A192CA969F9B6DC,description,scan/diff/triage/baseline/status,scan/diff/triage/baseline/status,
ATTR_67CF0AA42A8B56EC1F45,OBJ_2E17D2A554CAC2420D11,type,C,C,
ATTR_E178768FA52842CE9480,OBJ_2E17D2A554CAC2420D11,width,48,48,
ATTR_643569826CFC985F1D3A,OBJ_2E17D2A554CAC2420D11,decimals,0,0,
ATTR_C28248E88504C513E1DD,OBJ_2E17D2A554CAC2420D11,required,1,1,
ATTR_B30436EE7DC1ED92EEB4,OBJ_2E17D2A554CAC2420D11,description,Run status,Run status,
ATTR_04D35840574FBE6EA9D9,OBJ_B70AB98C4F8408AAFBBE,type,C,C,
ATTR_91586313BFCB27BB616F,OBJ_B70AB98C4F8408AAFBBE,width,32,32,
ATTR_20A4CA218FFC1F21B80F,OBJ_B70AB98C4F8408AAFBBE,decimals,0,0,
ATTR_B85D81D6355C7E560C22,OBJ_B70AB98C4F8408AAFBBE,required,1,1,
ATTR_43A40CEE5BF519F7F7B0,OBJ_B70AB98C4F8408AAFBBE,description,UTC creation timestamp,UTC creation timestamp,
ATTR_D229BA4A722ED47708AB,OBJ_8B8AAC59A48735582EF8,type,C,C,
ATTR_1ABA9440D494579C63A7,OBJ_8B8AAC59A48735582EF8,width,48,48,
ATTR_B30F783830582CC3968C,OBJ_8B8AAC59A48735582EF8,decimals,0,0,
ATTR_ADB0D6E8F8C228FCCEE9,OBJ_8B8AAC59A48735582EF8,required,0,0,
ATTR_0B9CE91A32F4829FE2E5,OBJ_8B8AAC59A48735582EF8,description,Related accepted baseline id,Related accepted baseline id,
ATTR_2F8F9F24EABC14A89B0C,OBJ_2A2C37788E838F04A457,type,C,C,
ATTR_3C2BA58F7D3F6BDED4A9,OBJ_2A2C37788E838F04A457,width,64,64,
ATTR_6414C840C42417501F44,OBJ_2A2C37788E838F04A457,decimals,0,0,
ATTR_637FBBBBDE33F2DE6ACF,OBJ_2A2C37788E838F04A457,required,0,0,
ATTR_DDD46AD3E73A71B9CA9E,OBJ_2A2C37788E838F04A457,description,Aggregate fingerprint,Aggregate fingerprint,
ATTR_336711781C1176CB7520,OBJ_884B4B08CC5DB6B39C20,type,C,C,
ATTR_2A1E3939E68BE7C718C5,OBJ_884B4B08CC5DB6B39C20,width,40,40,
ATTR_5A84F72E68B15146F080,OBJ_884B4B08CC5DB6B39C20,decimals,0,0,
ATTR_09DC6CB118A9425396E0,OBJ_884B4B08CC5DB6B39C20,required,0,0,
ATTR_563D1766A733986108C0,OBJ_884B4B08CC5DB6B39C20,description,Primary profile label,Primary profile label,
ATTR_CA8D0F4E07304B42CC10,OBJ_B5BC9A2BA0F89A9E7C81,type,M,M,
ATTR_7A21FD0C8F14DF56DC78,OBJ_B5BC9A2BA0F89A9E7C81,width,10,10,
ATTR_57F67FA6E6D9644A31DF,OBJ_B5BC9A2BA0F89A9E7C81,decimals,0,0,
ATTR_1B3D33556FA509A8BE70,OBJ_B5BC9A2BA0F89A9E7C81,required,0,0,
ATTR_69A9F8C5690A90B9AB46,OBJ_B5BC9A2BA0F89A9E7C81,description,Run notes / JSON detail memo,Run notes / JSON detail memo,
ATTR_809E57F6AB8E581CD432,OBJ_8D59C08121B98ECD3CFB,type,C,C,
ATTR_1085C4121663C18E4B50,OBJ_8D59C08121B98ECD3CFB,width,48,48,
ATTR_C197D288AF849627A1A2,OBJ_8D59C08121B98ECD3CFB,decimals,0,0,
ATTR_AEB17777A050C733AE9F,OBJ_8D59C08121B98ECD3CFB,required,1,1,
ATTR_1063B79286A5527E3D6A,OBJ_8D59C08121B98ECD3CFB,description,Accepted baseline id,Accepted baseline id,
ATTR_12251AE511A700C5FB06,OBJ_140A8498C34BA7F06279,type,C,C,
ATTR_02D48B13B7C7F9A03651,OBJ_140A8498C34BA7F06279,width,48,48,
ATTR_A7BE6B1272F20AFCDF3A,OBJ_140A8498C34BA7F06279,decimals,0,0,
ATTR_C11937461EB04080FDF2,OBJ_140A8498C34BA7F06279,required,1,1,
ATTR_443B2E77EC30A803588C,OBJ_140A8498C34BA7F06279,description,Baseline acceptance status,Baseline acceptance status,
ATTR_D0248200925CD326BAAA,OBJ_C2321886F9DFB935D555,type,C,C,
ATTR_E3210FCBBFE1159F48A1,OBJ_C2321886F9DFB935D555,width,64,64,
ATTR_A48F197232C0E9D78661,OBJ_C2321886F9DFB935D555,decimals,0,0,
ATTR_00F7664A007CA029E2C5,OBJ_C2321886F9DFB935D555,required,1,1,
ATTR_074C3FB4E3EE6E7847A1,OBJ_C2321886F9DFB935D555,description,Accepted fingerprint,Accepted fingerprint,
ATTR_EEFEC8897FB8DAD5E78D,OBJ_2756115AA7694E1BAD4F,type,C,C,
ATTR_A663B239F568E3DBC88D,OBJ_2756115AA7694E1BAD4F,width,48,48,
