EDGEID,FROMOBJ,TOOBJ,EDGETYPE,EVID
EDGE_A9E918929967A628C007,OBJ_A05DB9F99A7AD6B36069,OBJ_25BD3AA912441E7C5E54,HAS_FIELD,
EDGE_1CAC132CD4E34C459FF4,OBJ_A05DB9F99A7AD6B36069,OBJ_232B9A192CA969F9B6DC,HAS_FIELD,
EDGE_4E23B4216662149E3112,OBJ_A05DB9F99A7AD6B36069,OBJ_2E17D2A554CAC2420D11,HAS_FIELD,
EDGE_911B5F5FE639C2BA66EF,OBJ_A05DB9F99A7AD6B36069,OBJ_B70AB98C4F8408AAFBBE,HAS_FIELD,
EDGE_053E0EFA422BA2752DC2,OBJ_A05DB9F99A7AD6B36069,OBJ_8B8AAC59A48735582EF8,HAS_FIELD,
EDGE_F4FE4B72A8CA936B6B5C,OBJ_A05DB9F99A7AD6B36069,OBJ_2A2C37788E838F04A457,HAS_FIELD,
EDGE_C8BFCFF95ED4DC8AB72C,OBJ_A05DB9F99A7AD6B36069,OBJ_884B4B08CC5DB6B39C20,HAS_FIELD,
EDGE_595D632A689AF94380CE,OBJ_A05DB9F99A7AD6B36069,OBJ_B5BC9A2BA0F89A9E7C81,HAS_FIELD,
EDGE_333EF379AEEFC2F97566,OBJ_E5DD5DB46A44911D24C7,OBJ_8D59C08121B98ECD3CFB,HAS_FIELD,
EDGE_0E834F3A656472B93D57,OBJ_E5DD5DB46A44911D24C7,OBJ_140A8498C34BA7F06279,HAS_FIELD,
EDGE_8177AE780A2EF6A95B3A,OBJ_E5DD5DB46A44911D24C7,OBJ_C2321886F9DFB935D555,HAS_FIELD,
EDGE_70674E59250E34839897,OBJ_E5DD5DB46A44911D24C7,OBJ_2756115AA7694E1BAD4F,HAS_FIELD,
EDGE_22C2977EE49D82B5DC44,OBJ_E5DD5DB46A44911D24C7,OBJ_7CBF72F332BE1A051392,HAS_FIELD,
EDGE_9BD844464FF1AE51AB2D,OBJ_E5DD5DB46A44911D24C7,OBJ_2AB19CB6772EA5205218,HAS_FIELD,
EDGE_225B7206390536C91025,OBJ_E5DD5DB46A44911D24C7,OBJ_C28D0D7369B0BA96E8F3,HAS_FIELD,
EDGE_36AF1E024AA3C04C09DC,OBJ_3122F33830CB2DB8DCBE,OBJ_E5CAC2F5A59161816F45,HAS_FIELD,
EDGE_F8984AA17DCCB9AFCAA5,OBJ_3122F33830CB2DB8DCBE,OBJ_840867C55F16EC23DB28,HAS_FIELD,
EDGE_EB524C7E4A62181ADE17,OBJ_3122F33830CB2DB8DCBE,OBJ_073A8686C3F7B0F31582,HAS_FIELD,
EDGE_0B4673A8C2AF1DAADC04,OBJ_3122F33830CB2DB8DCBE,OBJ_0CCDE1763A724649F2FD,HAS_FIELD,
EDGE_0443ACFEDD56E01DA732,OBJ_3122F33830CB2DB8DCBE,OBJ_6687DC8E1DEDD3F309C5,HAS_FIELD,
EDGE_C7F20B0575AAAFF24D61,OBJ_3122F33830CB2DB8DCBE,OBJ_1FC1556A8B76CD62C2D9,HAS_FIELD,
EDGE_6ADCA7E8E5F056F37DA8,OBJ_F145DDC879A1964EB5D0,OBJ_018C4A8AB6B109E2E0A0,HAS_FIELD,
EDGE_FD484B9A33BDD537056D,OBJ_F145DDC879A1964EB5D0,OBJ_6C67661120A4F1331E13,HAS_FIELD,
EDGE_887AC991F732D539ECB4,OBJ_F145DDC879A1964EB5D0,OBJ_1F5A05F79EEA53B08533,HAS_FIELD,
EDGE_C6291838132161903B4B,OBJ_F145DDC879A1964EB5D0,OBJ_E8583DA8B8DA77D08B30,HAS_FIELD,
EDGE_2A0260011D827BD59B9F,OBJ_F145DDC879A1964EB5D0,OBJ_798E404826C602D97020,HAS_FIELD,
EDGE_C95EE06DC78A78FCB55B,OBJ_F145DDC879A1964EB5D0,OBJ_4D566D8C01E013B2E083,HAS_FIELD,
EDGE_188504F87B5814BB1A12,OBJ_F145DDC879A1964EB5D0,OBJ_A09948DE898CBE6389E0,HAS_FIELD,
EDGE_BD7A1ED7D959EBE8D1F3,OBJ_57266DFAD7BF21A758E2,OBJ_0396730F74C7AA4300F7,HAS_FIELD,
EDGE_9F56B93BCC96470534F4,OBJ_57266DFAD7BF21A758E2,OBJ_3D33DC2146AED28726A6,HAS_FIELD,
EDGE_D9DCDAA40CBC64B4B465,OBJ_57266DFAD7BF21A758E2,OBJ_ACA04DAEADB23900B856,HAS_FIELD,
EDGE_19DF2A1636394FBBB84F,OBJ_57266DFAD7BF21A758E2,OBJ_DDF6AC7DB24E860A80CF,HAS_FIELD,
