OBJID,OBJTYPE,NAME,OWNER,STATUS,PROFILE,SRCID
OBJ_A05DB9F99A7AD6B36069,CATALOG_TABLE,DDRUN,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_E5DD5DB46A44911D24C7,CATALOG_TABLE,DDBASE,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_3122F33830CB2DB8DCBE,CATALOG_TABLE,DDSOURCE,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_F145DDC879A1964EB5D0,CATALOG_TABLE,DDOBJECT,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_57266DFAD7BF21A758E2,CATALOG_TABLE,DDATTR,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_D5E236EFEE19CF302007,CATALOG_TABLE,DDEDGE,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_5D7F72EAF174C4798A0E,CATALOG_TABLE,DDEVID,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_BEEBBBB7C3B6C1ECE4D2,CATALOG_TABLE,DDGATE,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_92D957D39F59C251F128,CATALOG_TABLE,DDREVIEW,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_92818B77DFCD62590870,CATALOG_TABLE,DDARTIF,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_EBCCC0F457303F2D5649,CATALOG_TABLE,DDPROFILE,DATADICT_CATALOG,PLANNED_DDL_DEFINITION,ENGINE,
OBJ_25BD3AA912441E7C5E54,CATALOG_FIELD,RUNID,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_232B9A192CA969F9B6DC,CATALOG_FIELD,KIND,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_2E17D2A554CAC2420D11,CATALOG_FIELD,STATUS,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_B70AB98C4F8408AAFBBE,CATALOG_FIELD,CREATEDUTC,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_8B8AAC59A48735582EF8,CATALOG_FIELD,BASEID,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_2A2C37788E838F04A457,CATALOG_FIELD,FINGER,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_884B4B08CC5DB6B39C20,CATALOG_FIELD,PROFILE,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_B5BC9A2BA0F89A9E7C81,CATALOG_FIELD,NOTES,DDRUN,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_8D59C08121B98ECD3CFB,CATALOG_FIELD,BASEID,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_140A8498C34BA7F06279,CATALOG_FIELD,STATUS,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_C2321886F9DFB935D555,CATALOG_FIELD,FINGER,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_2756115AA7694E1BAD4F,CATALOG_FIELD,RUNID,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_7CBF72F332BE1A051392,CATALOG_FIELD,MANIFEST,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_2AB19CB6772EA5205218,CATALOG_FIELD,PROFILE,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_C28D0D7369B0BA96E8F3,CATALOG_FIELD,NOTES,DDBASE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_E5CAC2F5A59161816F45,CATALOG_FIELD,SRCID,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_840867C55F16EC23DB28,CATALOG_FIELD,PATH,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_073A8686C3F7B0F31582,CATALOG_FIELD,KIND,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_0CCDE1763A724649F2FD,CATALOG_FIELD,SHA256,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_6687DC8E1DEDD3F309C5,CATALOG_FIELD,BYTES,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_1FC1556A8B76CD62C2D9,CATALOG_FIELD,PROFILE,DDSOURCE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_018C4A8AB6B109E2E0A0,CATALOG_FIELD,OBJID,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_6C67661120A4F1331E13,CATALOG_FIELD,OBJTYPE,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_1F5A05F79EEA53B08533,CATALOG_FIELD,NAME,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_E8583DA8B8DA77D08B30,CATALOG_FIELD,OWNER,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_798E404826C602D97020,CATALOG_FIELD,STATUS,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_4D566D8C01E013B2E083,CATALOG_FIELD,PROFILE,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_A09948DE898CBE6389E0,CATALOG_FIELD,SRCID,DDOBJECT,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_0396730F74C7AA4300F7,CATALOG_FIELD,ATTRID,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_3D33DC2146AED28726A6,CATALOG_FIELD,OBJID,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_ACA04DAEADB23900B856,CATALOG_FIELD,ATTRNAME,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_DDF6AC7DB24E860A80CF,CATALOG_FIELD,ATTRVAL,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_6954ED0B862ABA951A6D,CATALOG_FIELD,ATTRMEMO,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_A214C94AA36F5BC677CA,CATALOG_FIELD,EVID,DDATTR,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_6DAFFE52127585780AF0,CATALOG_FIELD,EDGEID,DDEDGE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_1F53F3C7D79327873488,CATALOG_FIELD,FROMOBJ,DDEDGE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_2684578DA732E1FF6F7F,CATALOG_FIELD,TOOBJ,DDEDGE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_6A735BE1D257099AF541,CATALOG_FIELD,EDGETYPE,DDEDGE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_0617BC5934C2C7C7F594,CATALOG_FIELD,EVID,DDEDGE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_0769C97BC67BEAF821B9,CATALOG_FIELD,EVID,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_D01932635E7A9D8880E8,CATALOG_FIELD,OBJID,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_0750B81A75C501EF14F0,CATALOG_FIELD,SRCID,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_AB5440183477DCA093DF,CATALOG_FIELD,KIND,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_878EA665E2F8AB9F828B,CATALOG_FIELD,CONF,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_9E5CDB2B1E8E254A6DE7,CATALOG_FIELD,DETAIL,DDEVID,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_EDD6D86C9EE61E37288C,CATALOG_FIELD,GATEID,DDGATE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_1FAF4858CBEE8E387EC8,CATALOG_FIELD,RUNID,DDGATE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_E520194E31867978BEFB,CATALOG_FIELD,GATENAME,DDGATE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_060E116B833BB189D707,CATALOG_FIELD,STATUS,DDGATE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_F4AE13F554F80A5A392A,CATALOG_FIELD,DETAIL,DDGATE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_8AA8549FABF5BEFB8380,CATALOG_FIELD,REVID,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_43BC29C66D42EFAD449F,CATALOG_FIELD,RUNID,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_48ED3BA45D7D40D7B7FE,CATALOG_FIELD,SEVERITY,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_212102AD87386057ADDB,CATALOG_FIELD,LANE,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_C4FC69451219223C5091,CATALOG_FIELD,PATH,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_80B4292FFD69C1D0458E,CATALOG_FIELD,ACTION,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_A817CD96E27126EDD5E3,CATALOG_FIELD,DETAIL,DDREVIEW,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_F56DF3E8169ACB403A89,CATALOG_FIELD,ARTID,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_BDFD3E499D3E0B242F64,CATALOG_FIELD,RUNID,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_F044AD268E3EEBF152D0,CATALOG_FIELD,PATH,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
