MSGID,SYMBOL,ENUMNAME,LOCALE,MSGLOCALE,SYMBOLLOC,TEXT,TXTHASH,STATUS,SRC
15,SET_MESSAGE_PROOF_USAGE_TEXT,SetMessageProofUsageText,en-US,0000000015|en-US,SET_MESSAGE_PROOF_USAGE_TEXT|en-US,"Usage:
  SET MESSAGE PROOF ON
  SET MESSAGE PROOF OFF
  SET MESSAGE PROOF CHECK",540455748069168b59680257a71a2bece9767bcb9e63af69191fc5b276c95e83,ACTIVE,src/help/helpdata_messages.cpp
16,SET_MESSAGE_EMIT_USAGE_TEXT,SetMessageEmitUsageText,en-US,0000000016|en-US,SET_MESSAGE_EMIT_USAGE_TEXT|en-US,"Usage:
  SET MESSAGE CATALOG CHECK
  SET MESSAGE PROOF ON|OFF|CHECK
  SET MESSAGE EMIT <symbol> [LOCALE <locale>] [ARG <name> <value>]",2e57b202a4f8e2d756c82fc16a4f1b9d61374e75b06ab2159b49fc4c4c32ca86,ACTIVE,src/help/helpdata_messages.cpp
17,MSGMGR_USAGE_TEXT,MsgMgrUsageText,en-US,0000000017|en-US,MSGMGR_USAGE_TEXT|en-US,"Usage:
  MSGMGR                 (Show this usage)
  MSGMGR USAGE           (Show this usage)
  MSGMGR STATUS          (Report Message Manager command-house status)
  MSGMGR CHECK           (Read-only command-house check)
Notes:
  - MSGMGR is read-only in this phase.
  - Runtime message catalog proof remains available through SET MESSAGE CATALOG CHECK.
  - Locale-spine runtime wiring remains guarded for a later phase.",5bd39b8cea2ea4bd2d891ec931e6b12464677c430b7291ac8dda712d8c7f36d9,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,de,0000000018|de,MSGMGR_STATUS_TITLE|de,MSGMGR-STATUS,a7c99e8c8159be89d89f54964abaf89b85ac389b0003862524f4d92c2fb0dd64,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,en-US,0000000018|en-US,MSGMGR_STATUS_TITLE|en-US,MSGMGR STATUS,11502412e665de744dd10df17fb346dd0cbeb01a5cda97869390d7929292460c,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,es,0000000018|es,MSGMGR_STATUS_TITLE|es,ESTADO DE MSGMGR,9393751ab1b8859f75e337f388da4307e0d486ff94fe50d8a6415edb910b12c5,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,fr,0000000018|fr,MSGMGR_STATUS_TITLE|fr,ETAT MSGMGR,24b238712671c1ee0e99a20fabe2be33119870602991c33fe48b75434cb93b82,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,it,0000000018|it,MSGMGR_STATUS_TITLE|it,STATO MSGMGR,28a1413f73f5011dfb8d2a3244dc2053b5a5ba538c65b8c3b8b880b73fa2b62d,ACTIVE,src/help/helpdata_messages.cpp
19,MSGMGR_STATUS_BODY_TEXT,MsgMgrStatusBodyText,en-US,0000000019|en-US,MSGMGR_STATUS_BODY_TEXT|en-US,"  command house        : registered
  read mode            : read-only
  active message check : SET MESSAGE CATALOG CHECK
  active message get   : SET MESSAGE CATALOG GET
  provider mode        : active_dbf
  message DBF root     : dottalkpp/data/messaging
  message index root   : dottalkpp/data/indexes/messaging
  message LMDB root    : dottalkpp/data/lmdb/messaging
  locale spine         : scaffold present; runtime status wiring held
  schema root          : dottalkpp/data/schemas
  locale schema        : dottalkpp/data/schemas/locale/locale_spine.dtschema
  messaging schema     : dottalkpp/data/schemas/messaging/message_catalog.dtschema
  boundary             : no DBF/CDX/LMDB mutation; no runtime writeback",f2aa3d17584ffba133567dff5184eb4b491266e92c3c635554a7f3f9c0a4ce68,ACTIVE,src/help/helpdata_messages.cpp
20,DISPLAY_USAGE_TEXT,DisplayUsageText,en-US,0000000020|en-US,DISPLAY_USAGE_TEXT|en-US,"Usage:
  DISPLAY
  DISPLAY USAGE
  DISPLAY <recno>",1c708c16ed0c2a2ef6925d54e0f36e323937569c703a5f449a0e683da0135c31,ACTIVE,src/help/helpdata_messages.cpp
21,USE_USAGE_TEXT,UseUsageText,en-US,0000000021|en-US,USE_USAGE_TEXT|en-US,"Usage:
  USE USAGE              (Show this usage)
  USE <table>            (Open <DBF slot>/<table>.dbf in current area)
  USE <table.dbf>        (Open named DBF; logical names resolve through DBF slot)
  USE <path\\table.dbf>   (Open explicit path)
  USE <table> NOINDEX    (Open in physical order; skip index auto-attach)
  USE <table> NOIDX      (Alias of NOINDEX)
Notes:
  - USE closes/resets the current area before opening the target table.
  - USE prevents duplicate opens of the same DBF path across work areas.
  - USE auto-attaches memo storage when memo fields are present.
  - USE auto-attaches flavor-appropriate indexes when present, unless NOINDEX/NOIDX is used.
  - USE prefers the configured INDEXES slot and falls back to the DBF directory.
  - x64/v128 tables prefer CDX.
  - x32 tables prefer CNX, then INX.",14ed64daf74ce1f94275dd45c1ff3c79182808766bdc4baad1f4dffebc41cb41,ACTIVE,src/help/helpdata_messages.cpp
22,GO_USAGE_TEXT,GoUsageText,en-US,0000000022|en-US,GO_USAGE_TEXT|en-US,"Usage:
  GO
  GO USAGE
  GO TOP
  GO BOTTOM
  GO FIRST
  GO LAST
  GO TO <recno>
  GO RECORD <recno>
  GO <recno>
  GO +<n>
  GO -<n>",04cb83d7ddbe003da0208320e2e02c2a63b336e9a02a258c1fba56549b410258,ACTIVE,src/help/helpdata_messages.cpp
23,GOTO_USAGE_TEXT,GotoUsageText,en-US,0000000023|en-US,GOTO_USAGE_TEXT|en-US,"Usage:
  GOTO USAGE
  GOTO <recno>
  GOTO FIRST
  GOTO LAST",755949a80621f010460f6a46fc33d90efb3bcd1b0a35edc6697e21c281e04aea,ACTIVE,src/help/helpdata_messages.cpp
