CMD_ID,CAN_NAME,TYPE,VIS,HANDLER,ACTIVE
CMD_ABOUT,ABOUT,command,public,cmd_ABOUT,t
CMD_AGGS,AGGS,command,public,cmd_AGGS,t
CMD_APPEND,APPEND,command,public,cmd_APPEND,t
CMD_APPEND_BLANK,APPEND_BLANK,command,public,cmd_APPEND_BLANK,t
CMD_ARCTICTALK,ARCTICTALK,command,public,cmd_FOXTALK,t
CMD_AREA,AREA,command,public,cmd_AREA,t
CMD_ASCEND,ASCEND,command,public,cmd_ASCEND,t
CMD_ASCII,ASCII,command,public,edu_ASCII_TABLE,t
CMD_AUTODBF,AUTODBF,command,public,cmd_AUTODBF,t
CMD_AVG,AVG,command,public,cmd_AVG,t
CMD_BANG,BANG,command,public,cmd_BANG,t
CMD_BBOX,BBOX,command,public,cmd_BBOX,t
CMD_BELL,BELL,command,public,cmd_BELL,t
CMD_BIBLETALK,BIBLETALK,command,public,edu_BIBLETALK,t
CMD_BOOLEAN,BOOLEAN,command,public,edu_BOOLEAN,t
CMD_BOTTOM,BOTTOM,command,public,cmd_BOTTOM,t
CMD_BROWSE,BROWSE,command,public,cmd_BROWSE,t
CMD_BROWSER,BROWSER,command,public,cmd_BROWSER,t
CMD_BROWSETUI,BROWSETUI,command,public,cmd_BROWSETUI,t
CMD_BUILDLMDB,BUILDLMDB,command,public,cmd_BUILDLMDB,t
CMD_CALC,CALC,command,public,cmd_CALC,t
CMD_CALCWRITE,CALCWRITE,command,public,cmd_CALCWRITE,t
CMD_CASE,CASE,syntax-command,public,edu_CASESTUDY,t
CMD_CDX,CDX,command,public,cmd_CDX,t
CMD_CHRISTMAS,CHRISTMAS,command,public,edu_CHRISTMAS,t
CMD_CLEAR,CLEAR,command,public,cmd_CLEAR,t
CMD_CLOSE,CLOSE,command,public,cmd_CLOSE,t
CMD_CMDARGCHK,CMDARGCHK,command,public,cmd_CMDARGCHK,t
CMD_CMDHELP,CMDHELP,command,public,cmd_CMDHELP,t
CMD_CMDHELPCHK,CMDHELPCHK,command,public,cmd_CMDHELPCHK,t
CMD_CMDREL,CMDREL,command,public,cmd_CMDREL,t
CMD_CNX,CNX,command,public,cmd_CNX,t
CMD_COBOL,COBOL,command,public,cmd_COBOL,t
CMD_CODASYL,CODASYL,command,public,cmd_CODASYL,t
CMD_COLOR,COLOR,command,public,cmd_COLOR,t
CMD_COMMIT,COMMIT,command,public,cmd_COMMIT,t
CMD_CONCAT,CONCAT,command,public,cmd_CONCAT,t
CMD_CONTINUE,CONTINUE,syntax-command,public,cmd_CONTINUE,t
CMD_COPY,COPY,command,public,cmd_COPY,t
CMD_COUNT,COUNT,command,public,cmd_COUNT,t
CMD_CREATE,CREATE,command,public,cmd_CREATE,t
CMD_DBAREA,DBAREA,command,public,cmd_DBAREA,t
CMD_DBAREAS,DBAREAS,command,public,cmd_DBAREAS,t
CMD_DDICT,DDICT,command,public,cmd_DDICT,t
CMD_DDL,DDL,command,public,cmd_DDL,t
CMD_DELETE,DELETE,command,public,cmd_DELETE,t
CMD_DESCEND,DESCEND,command,public,cmd_DESCEND,t
CMD_DIR,DIR,command,public,cmd_DIR,t
CMD_DISPLAY,DISPLAY,command,public,cmd_DISPLAY,t
CMD_DOTHELP,DOTHELP,command,public,cmd_DOTHELP,t
CMD_DOTSCRIPT,DOTSCRIPT,command,public,cmd_DOTSCRIPT,t
CMD_DRAWIO,DRAWIO,command,public,cmd_DRAWIO,t
CMD_DUMP,DUMP,command,public,cmd_DUMP,t
CMD_ECHO,ECHO,command,public,cmd_ECHO,t
CMD_EDIT,EDIT,command,public,cmd_EDIT,t
CMD_ELSE,ELSE,syntax-command,public,cmd_ELSE,t
CMD_ENDIF,ENDIF,syntax-command,public,cmd_ENDIF,t
CMD_ENDLOOP,ENDLOOP,syntax-command,public,cmd_ENDLOOP,t
CMD_ENDSCAN,ENDSCAN,syntax-command,public,cmd_ENDSCAN,t
CMD_ENDUNTIL,ENDUNTIL,syntax-command,public,cmd_ENDUNTIL,t
CMD_ENDWHILE,ENDWHILE,syntax-command,public,cmd_ENDWHILE,t
CMD_ERASE,ERASE,command,public,cmd_ERASE,t
CMD_ERP,ERP,command,public,edu_ERP,t
CMD_ERROR_CLEAR,ERROR_CLEAR,command,public,cmd_ERROR_CLEAR,t
CMD_ERROR_STATUS,ERROR_STATUS,command,public,cmd_ERROR_STATUS,t
CMD_ERROR_TEST,ERROR_TEST,command,public,cmd_ERROR_TEST,t
CMD_ERSATZ,ERSATZ,command,public,cmd_ERSATZ,t
CMD_EVALUATE,EVALUATE,command,public,edu_EVALUATE,t
CMD_EXAMPLE,EXAMPLE,command,public,cmd_EXAMPLE,t
CMD_EXITS,EXITS,command,public,cmd_EXITS,t
CMD_EXPORT,EXPORT,command,public,cmd_EXPORT,t
CMD_EXPORTFUNCTIONS,EXPORTFUNCTIONS,command,public,cmd_EXPORTFUNCTIONS,t
CMD_EXPORTSQL,EXPORTSQL,command,public,cmd_EXPORTSQL,t
CMD_FIELDMGR,FIELDMGR,command,public,cmd_FIELDMGR,t
CMD_FIELDS,FIELDS,command,public,cmd_FIELDS,t
CMD_FIND,FIND,command,public,cmd_FIND,t
CMD_FIRST,FIRST,command,public,cmd_FIRST,t
CMD_FORMULA,FORMULA,command,public,edu_FORMULA,t
CMD_FOXHELP,FOXHELP,command,public,cmd_FOXHELP,t
CMD_FOXPRO,FOXPRO,command,public,cmd_FOXPRO,t
CMD_FOXSTANDARD,FOXSTANDARD,command,public,cmd_FOXSTANDARD,t
CMD_GO,GO,command,public,cmd_GO,t
CMD_GOTO,GOTO,command,public,cmd_GOTO,t
CMD_GPS,GPS,command,public,cmd_GPS,t
CMD_HANUKKAH,HANUKKAH,command,public,edu_HANUKKAH,t
CMD_HELP,HELP,command,public,cmd_HELP,t
CMD_HIER,HIER,command,public,cmd_HIER,t
CMD_IDX,IDX,command,public,edu_IDX,t
CMD_IF,IF,syntax-command,public,cmd_IF,t
CMD_IMAGE,IMAGE,command,public,cmd_IMAGE_DISPLAY,t
CMD_IMPORT,IMPORT,command,public,cmd_IMPORT,t
CMD_IMPORTSQL,IMPORTSQL,command,public,cmd_IMPORTSQL,t
CMD_INDEX,INDEX,command,public,cmd_INDEX,t
