CMD_ID,CAN_NAME,TYPE,VIS,HANDLER,ACTIVE
CMD_AGGS,AGGS,command,public,cmd_AGGS,T
CMD_APPEND_BLANK,APPEND_BLANK,command,public,cmd_APPEND_BLANK,T
CMD_ARCTICTALK,ARCTICTALK,command,public,cmd_FOXTALK,T
CMD_AREA,AREA,command,public,cmd_AREA,T
CMD_AREA51,AREA51,command,public,TODO,T
CMD_ASCEND,ASCEND,command,public,cmd_ASCEND,T
CMD_AUTODBF,AUTODBF,command,public,cmd_AUTODBF,T
CMD_AVERAGE,AVERAGE,command,public,cmd_AVG,T
CMD_AVG,AVG,command,public,cmd_AVG,T
CMD_BANG,BANG,command,public,cmd_BANG,T
CMD_BBOX,BBOX,command,public,cmd_BBOX,T
CMD_BBS,BBS,command,public,cmd_BBS,T
CMD_BETA,BETA,command,public,cmd_BETA,T
CMD_BIBLETALK,BIBLETALK,command,public,edu_BIBLETALK,T
CMD_BOOLEAN,BOOLEAN,command,public,edu_BOOLEAN,T
CMD_BOTTOM,BOTTOM,command,public,cmd_BOTTOM,T
CMD_BROWSE,BROWSE,command,public,cmd_BROWSE,T
CMD_BROWSETUI,BROWSETUI,command,public,cmd_BROWSETUI,T
CMD_BROWSETV,BROWSETV,command,public,cmd_BROWSETV,T
CMD_BUILD_INFO,BUILD INFO,command,public,cmd_BUILDVECTORS,T
CMD_BUILD_VECTORS,BUILD VECTORS,command,public,cmd_BUILDVECTORS,T
CMD_BUILDLMDB,BUILDLMDB,command,public,cmd_BUILDLMDB,T
CMD_BUILDVECTORS,BUILDVECTORS,command,public,cmd_BUILDVECTORS,T
CMD_CANARY,CANARY,command,public,cmd_CATALOGCANARY,T
CMD_CDX,CDX,command,public,cmd_CDX,T
CMD_CHRISTMAS,CHRISTMAS,command,public,edu_CHRISTMAS,T
CMD_CLOSE,CLOSE,command,public,cmd_CLOSE,T
CMD_CMDARGCHK,CMDARGCHK,command,public,cmd_CMDARGCHK,T
CMD_CMDHELP,CMDHELP,command,public,cmd_CMDHELP,T
CMD_CMDHELPCHK,CMDHELPCHK,command,public,cmd_CMDHELPCHK,T
CMD_CMDREL,CMDREL,command,public,cmd_CMDREL,T
CMD_CNX,CNX,command,public,cmd_CNX,T
CMD_COBOL,COBOL,command,public,cmd_COBOL,T
CMD_CODASYL,CODASYL,command,public,cmd_CODASYL,T
CMD_COLOR,COLOR,command,public,cmd_COLOR,T
CMD_COMMANDSHELP,COMMANDSHELP,command,public,cmd_CMDHELP,T
CMD_COMMIT,COMMIT,command,public,cmd_COMMIT,T
CMD_CONCAT,CONCAT,command,public,cmd_CONCAT,T
CMD_COUNT,COUNT,command,public,cmd_COUNT,T
CMD_DBAREA,DBAREA,command,public,cmd_DBAREA,T
CMD_DBAREAS,DBAREAS,command,public,cmd_DBAREAS,T
CMD_DDICT,DDICT,command,public,cmd_DDICT,T
CMD_DDL,DDL,command,public,cmd_DDL,T
CMD_DEFCMD,DEFCMD,command,public,cmd_DEFCMD,T
CMD_DEFFN,DEFFN,command,public,cmd_DEFFN,T
CMD_DESCEND,DESCEND,command,public,cmd_DESCEND,T
CMD_DISPLAY,DISPLAY,command,public,cmd_DISPLAY,T
CMD_DOTHELP,DOTHELP,command,public,cmd_DOTHELP,T
CMD_DOTSCRIPT,DOTSCRIPT,command,public,cmd_DOTSCRIPT,T
CMD_DRAWIO,DRAWIO,command,public,cmd_DRAWIO,T
CMD_DUMP,DUMP,command,public,cmd_DUMP,T
CMD_ECHO,ECHO,command,public,cmd_ECHO,T
CMD_ENDLOOP,ENDLOOP,command,public,cmd_ENDLOOP,T
CMD_ERP,ERP,command,public,edu_ERP,T
CMD_ERROR_CLEAR,ERROR CLEAR,command,public,cmd_ERROR_CLEAR,T
CMD_ERROR_STATUS,ERROR STATUS,command,public,cmd_ERROR_STATUS,T
CMD_ERROR_TEST,ERROR TEST,command,public,cmd_ERROR_TEST,T
CMD_ERROR_CLEAR,ERROR_CLEAR,command,public,cmd_ERROR_CLEAR,T
CMD_ERROR_STATUS,ERROR_STATUS,command,public,cmd_ERROR_STATUS,T
CMD_ERROR_TEST,ERROR_TEST,command,public,cmd_ERROR_TEST,T
CMD_ERSATZ,ERSATZ,command,public,cmd_ERSATZ,T
CMD_EVAL,EVAL,command,public,TODO,T
CMD_EVALUATE,EVALUATE,command,public,edu_EVALUATE,T
CMD_EXAMPLE,EXAMPLE,command,public,cmd_EXAMPLE,T
CMD_EXIT,EXIT,command,public,cmd_QUIT,T
CMD_EXITS,EXITS,command,public,cmd_EXITS,T
