FUNC_ID,CAN_NAME,DISP_NAME,DEF_LOCALE,REGION_ID,FUNC_CAT,MIN_ARGS,MAX_ARGS,IMPL_STAT,VIS_TIER,OWNER,SRC_AUTH,SRC_FILE,HANDLER,CALC_CALL,PUB_SURF,SELF_REG,MSG_CAT,ACTIVE,VER_AT,NOTES
"FN_ABS","ABS","ABS","en-US","GLOBAL","Numeric",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_numeric.cpp","",true,true,false,false,true,"","summary=Return the absolute value of a numeric expression. ; syntax=ABS(<n>) ; examples=ABS(-5) | ABS(balance) ; notes=Positive values remain unchanged. ; warnings=Non-numeric input should be treated as an evaluation/type error unless explicitly coerced."
"FN_ACOS","ACOS","ACOS","en-US","GLOBAL","Numeric",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_numeric.cpp","",true,true,false,false,true,"","summary=Return the arc-cosine of a numeric value. ; syntax=ACOS(<n>) ; examples=ACOS(0) | ACOS(1) | ACOS(ratio) ; notes=Inverse cosine function. | Result is expected in radians. ; warnings=Input domain should be limited to [-1, 1]. | Out-of-range values should raise an error."
"FN_ALLTRIM","ALLTRIM","ALLTRIM","en-US","GLOBAL","String",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_string.cpp","",true,true,false,false,true,"","summary=Trim leading and trailing spaces from a string value. ; syntax=ALLTRIM(<expr>) ; examples=ALLTRIM(NAME) | ALLTRIM("" SMITH "") ; notes=Useful for normalization before comparison or display."
"FN_ASC","ASC","ASC","en-US","GLOBAL","String",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_string.cpp","",true,true,false,false,true,"","summary=Return the character code of the first character in a string. ; syntax=ASC(<expr>) ; examples=ASC(""A"") | ASC(code_value) ; notes=Only the first character is considered. ; warnings=Empty-string behavior should remain explicit and stable."
"FN_ASIN","ASIN","ASIN","en-US","GLOBAL","Numeric",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_numeric.cpp","",true,true,false,false,true,"","summary=Return the arc-sine of a numeric value. ; syntax=ASIN(<n>) ; examples=ASIN(0) | ASIN(1) | ASIN(ratio) ; notes=Inverse sine function. | Result is expected in radians. ; warnings=Input domain should be limited to [-1, 1]. | Out-of-range values should raise an error."
"FN_AT","AT","AT","en-US","GLOBAL","Search",2,2,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_string.cpp","",true,true,false,false,true,"","summary=Return the 1-based position of a substring occurrence. ; syntax=AT(<needle>, <haystack>) | AT(<needle>, <haystack>, <occurrence>) ; examples=AT(""IT"", ""SMITH"") | AT(""A"", ""BANANA"", 2) ; notes=Returns 0 if the substring is not found. | Occurrence defaults to 1. ; warnings=Search is case-sensitive."
"FN_ATAN","ATAN","ATAN","en-US","GLOBAL","Numeric",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_numeric.cpp","",true,true,false,false,true,"","summary=Return the arc-tangent of a numeric value. ; syntax=ATAN(<n>) ; examples=ATAN(0) | ATAN(1) | ATAN(slope) ; notes=Inverse tangent function. | Result is expected in radians. ; warnings=Very large magnitudes may compress toward asymptotic output values, which is mathematically expected."
"FN_ATC","ATC","ATC","en-US","GLOBAL","Search",2,3,"implemented","core","expression_engine","function_catalog","src/cli/expr/function_catalog.cpp","",true,true,false,false,true,"","summary=Return the 1-based position of a substring occurrence, case-insensitive. ; syntax=ATC(<needle>, <haystack>) | ATC(<needle>, <haystack>, <occurrence>) ; examples=ATC(""it"", ""SMITH"") | ATC(""a"", ""BANANA"", 2) ; notes=Returns 0 if the substring is not found. | Occurrence defaults to 1."
"FN_BETWEEN","BETWEEN","BETWEEN","en-US","GLOBAL","Numeric",3,3,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_numeric.cpp","",true,true,false,false,true,"","summary=Return whether a numeric value lies within an inclusive lower and upper bound. ; syntax=BETWEEN(<value>, <low>, <high>) ; examples=BETWEEN(age, 18, 65) | BETWEEN(score, 0, 100) | BETWEEN(x, min_x, max_x) ; notes=Useful for range validation and filter predicates. | Should be treated as logical output even if grouped among numeric-oriented helpers. ; warnings=Bound ordering behavior should be explicit; if <low> > <high>, either document the behavior or normalize it consistently."
"FN_CDOW","CDOW","CDOW","en-US","GLOBAL","Date",1,1,"implemented","core","expression_engine","function_catalog","src/cli/expr/fn_date.cpp","",true,true,false,false,true,"","summary=Return the day-of-week name for a date. ; syntax=CDOW(<date>) ; examples=CDOW(DATE()) | CDOW(order_date) ; notes=Character day-of-week function. | Useful for reports and formatted output. ; warnings=Language/localization behavior should be documented if it ever becomes configurable."
