MSG_ID,SYMBOL,ENUM_NAME,DEF_LOCALE,REGION_ID,CATEGORY,SEVERITY,FACILITY,STATUS,HELP_TOPIC,CMDHELPCHK,SHORT_TXT,IMPL_STAT,VIS_TIER,OWNER,SRC_AUTH,SRC_FILE,PUB_SURF,USED_RUN,ACTIVE,VER_AT,SUG_ACT,NOTES
MSG_HELP_HINT_COMMAND_A503E887,HELP_HINT_COMMAND,HelpHintCommand,en-US,GLOBAL,HINT,INFO,HELP,active,,,Type HELP {command} for more information.,implemented,core,GLOBAL,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=GLOBAL ; facility_derived=HELP ; default_text_shape=singleline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_MESSAGE_ROUTING_PRO_79D2CEEB,MESSAGE_ROUTING_PROOF_LINE,MessageRoutingProofLine,en-US,GLOBAL,STATUS,INFO,MESSAGING,active,,,Message routing proof: {provider} {symbol},implemented,core,SUBSYSTEM:MESSAGING,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=SUBSYSTEM:MESSAGING ; facility_derived=MESSAGING ; default_text_shape=singleline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_MESSAGE_LOCALE_SET_F483C356,MESSAGE_LOCALE_SET,MessageLocaleSet,en-US,GLOBAL,STATUS,INFO,MESSAGING,active,,,Message locale is {locale},implemented,core,SUBSYSTEM:MESSAGING,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=SUBSYSTEM:MESSAGING ; facility_derived=MESSAGING ; default_text_shape=singleline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_MESSAGE_CATALOG_643A3D89,SET_MESSAGE_CATALOG_VALIDATION_GREEN_LABEL,SetMessageCatalogValidationGreenLabel,en-US,GLOBAL,STATUS,INFO,SET,active,,,green,implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=singleline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_MESSAGE_CATALOG_421716BD,SET_MESSAGE_CATALOG_VALIDATION_ISSUES_FOUND_LABEL,SetMessageCatalogValidationIssuesFoundLabel,en-US,GLOBAL,STATUS,WARNING,SET,active,,,issues found,implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=singleline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_MESSAGE_CATALOG_39116EAC,SET_MESSAGE_CATALOG_VALIDATION_STATUS_TEXT,SetMessageCatalogValidationStatusText,en-US,GLOBAL,STATUS,INFO,SET,active,,,"Message catalog validation: {status} / messages: {message_count} / text rows: {text_row_count} / locales: {locales} / issues: {issue_count} / boundary: report-only; no DBF, HELP DA",implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=multiline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_LANGUAGE_STATUS_14CC61BD,SET_LANGUAGE_STATUS_TEXT,SetLanguageStatusText,en-US,GLOBAL,STATUS,INFO,SET,active,,,"Message locale: {locale} / Supported message locales: en-US, es, fr, de, it / Usage: SET LANGUAGE [TO] <en-US|es|fr|de|it|DEFAULT> / SET LOCALE [TO] <en-US|es|fr|de|it|DEFAULT> / S",implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=multiline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_MESSAGE_CATALOG_F2098569,SET_MESSAGE_CATALOG_PROVIDER_STATUS_TEXT,SetMessageCatalogProviderStatusText,en-US,GLOBAL,STATUS,INFO,SET,active,,,Message catalog provider status: / mode: {mode} / active catalog present: {present} / active catalog loaded: {loaded} / message count: {message_count} / text row count: {text_row_c,implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=multiline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_LANGUAGE_ACTIVE_754594E4,SET_LANGUAGE_ACTIVE_MESSAGE_EMISSION_TEXT,SetLanguageActiveMessageEmissionText,en-US,GLOBAL,STATUS,INFO,SET,active,,,SET LANGUAGE active message emission: / current locale: {locale} / provider mode: {mode} / active catalog loaded: {loaded} / symbol: HELP_HINT_COMMAND / fallback locale: en-US / te,implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=multiline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
MSG_SET_LANGUAGE_ACTIVE_4065D000,SET_LANGUAGE_ACTIVE_CATALOG_CHECK_TEXT,SetLanguageActiveCatalogCheckText,en-US,GLOBAL,STATUS,INFO,SET,active,,,SET LANGUAGE active catalog check: / current language: {locale} / message catalog mode: {mode} / active catalog present: {present} / active catalog loaded: {loaded} / message count,implemented,core,COMMAND:SET,compiled_registry_v1,src/help/helpdata_messages.cpp,true,true,true,,,"owner_scope=COMMAND:SET ; facility_derived=SET ; default_text_shape=multiline ; source=all_messages() ; enrichment_pending=HELP_TOPIC,CMDHELPCHK"
