artifact_id,family,family_label,era,file_name,archive_member,archive_timestamp,bytes,sha256,truth_level,public_path,viewer_path
HSRC-XBASE-XBASE-C,xbase,xBase core,1993,XBASE.C,xbase/xbase/XBASE.C,1993-10-26,20466,BDA550134F7EA8688D7A6E6A44181DE8606687034B49E16EAFEF37C183450FC7,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbase.c.txt,/artifacts/source-lineage/historical-source/xbase/xbase.c.html
HSRC-XBASE-XBASE-H,xbase,xBase core,1993,XBASE.H,xbase/xbase/XBASE.H,1993-10-26,3707,4CB91A7958E1235CA2AAFB6802F2FDDD609EEDDD631BCEFEBB69D4E25F587713,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbase.h.txt,/artifacts/source-lineage/historical-source/xbase/xbase.h.html
HSRC-XBASE-XBCMDS-C,xbase,xBase core,1993,XBCMDS.C,xbase/xbase/XBCMDS.C,1993-10-26,19456,081A2DCCBDBA96E705476A095684FFD74FE830A3802ED4A54E7CC8829C3F8667,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbcmds.c.txt,/artifacts/source-lineage/historical-source/xbase/xbcmds.c.html
HSRC-XBASE-XBCMDS-H,xbase,xBase core,1993,XBCMDS.H,xbase/xbase/XBCMDS.H,1993-10-25,1346,6432767F082144088E7972606DE9DAE2B25321417FF94CBF118A023FA7689D2B,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbcmds.h.txt,/artifacts/source-lineage/historical-source/xbase/xbcmds.h.html
HSRC-XBASE-XBINDEX-C,xbase,xBase core,1993,XBINDEX.C,xbase/xbase/XBINDEX.C,1993-10-26,16016,E58932CA7F6514B01F5C8257FC19EB5ED4034E28F7A2EDE303B0D501F8C7B852,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbindex.c.txt,/artifacts/source-lineage/historical-source/xbase/xbindex.c.html
HSRC-XBASE-XBINDEX-H,xbase,xBase core,1993,XBINDEX.H,xbase/xbase/XBINDEX.H,1993-10-26,4288,6C8556F5E4B3B0E6969D5CA786D074DD17F0E733498FBB0E40A20118F861727F,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase/xbindex.h.txt,/artifacts/source-lineage/historical-source/xbase/xbindex.h.html
HSRC-XDLL-XBASE-C,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBASE.C,xbase/xdll/XBASE.C,1993-11-04,21052,6B60C66C935779821144E1064D1107F0E5CAC56AED4A5772039D4FEA24BF8662,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbase.c.txt,/artifacts/source-lineage/historical-source/xdll/xbase.c.html
HSRC-XDLL-XBASE-H,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBASE.H,xbase/xdll/XBASE.H,1996-07-25,4312,476D6D7742ED16FF93E94793C8AAF5B2B2CC262468CA139CADE97CD72C93F8B5,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbase.h.txt,/artifacts/source-lineage/historical-source/xdll/xbase.h.html
HSRC-XDLL-XBCMDS-C,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBCMDS.C,xbase/xdll/XBCMDS.C,1993-11-04,20347,ED003B255DE994B4C991D32F1EBBBA4622252FB9A82E31619B76EFFA3A2A16CA,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbcmds.c.txt,/artifacts/source-lineage/historical-source/xdll/xbcmds.c.html
HSRC-XDLL-XBCMDS-H,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBCMDS.H,xbase/xdll/XBCMDS.H,1996-07-25,1994,BDC7AEC487FCEC0DC83E902C3B2190F889DE37C0F1068DD9340A493BA0698E81,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbcmds.h.txt,/artifacts/source-lineage/historical-source/xdll/xbcmds.h.html
HSRC-XDLL-XBINDEX-C,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBINDEX.C,xbase/xdll/XBINDEX.C,1993-10-26,16016,E58932CA7F6514B01F5C8257FC19EB5ED4034E28F7A2EDE303B0D501F8C7B852,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbindex.c.txt,/artifacts/source-lineage/historical-source/xdll/xbindex.c.html
HSRC-XDLL-XBINDEX-H,xdll,XDLL / xBase DLL-oriented branch,1993-1996,XBINDEX.H,xbase/xdll/XBINDEX.H,1996-07-25,4326,CFB9DF17575634E744F310DCC218924B23FE2637B7BED0A6CC28FC021B235917,archive-byte-preserved,/artifacts/source-lineage/historical-source/xdll/xbindex.h.txt,/artifacts/source-lineage/historical-source/xdll/xbindex.h.html
HSRC-XBASE2-DOTTALK-C,xbase2,xBase2 / DotTalk 1995,1995,DOTTALK.C,xbase/xbase2/DOTTALK.C,1995-08-14,12348,9DD694B8772A0DA8AAAF437CFDC3E0A7316C7C576B430964D1728FCF64AA804B,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/dottalk.c.txt,/artifacts/source-lineage/historical-source/xbase2/dottalk.c.html
HSRC-XBASE2-DOTTALK-H,xbase2,xBase2 / DotTalk 1995,1995,DOTTALK.H,xbase/xbase2/DOTTALK.H,1995-07-21,310,8E7CCCD124B56A6E1DCD5973E5C5641E57D3B7095A5299CFEEE8609792259A1C,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/dottalk.h.txt,/artifacts/source-lineage/historical-source/xbase2/dottalk.h.html
HSRC-XBASE2-TEST-C,xbase2,xBase2 / DotTalk 1995,1995,TEST.C,xbase/xbase2/TEST.C,1995-08-16,3231,7D2E071107C93F0555684518A672D2A3CF970795A8DE9E482925F7F02B873384,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/test.c.txt,/artifacts/source-lineage/historical-source/xbase2/test.c.html
HSRC-XBASE2-XBASE-C,xbase2,xBase2 / DotTalk 1995,1995,XBASE.C,xbase/xbase2/XBASE.C,1995-08-14,21916,3ED072803564560A5A2842309234D57B0CAF626483A01976A4934A484D203486,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbase.c.txt,/artifacts/source-lineage/historical-source/xbase2/xbase.c.html
HSRC-XBASE2-XBASE-H,xbase2,xBase2 / DotTalk 1995,1995,XBASE.H,xbase/xbase2/XBASE.H,1995-08-14,4991,C63126FE1B49E347F947B0A1A70169CF1276C3B3EC7E6E540A831FE1E56BD9D7,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbase.h.txt,/artifacts/source-lineage/historical-source/xbase2/xbase.h.html
HSRC-XBASE2-XBCMDS-C,xbase2,xBase2 / DotTalk 1995,1995,XBCMDS.C,xbase/xbase2/XBCMDS.C,1995-08-14,21107,A588A77F9178CD804AF89175382F2F2C8FC36B62905258F1CD4FE660244FD925,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbcmds.c.txt,/artifacts/source-lineage/historical-source/xbase2/xbcmds.c.html
HSRC-XBASE2-XBCMDS-H,xbase2,xBase2 / DotTalk 1995,1995,XBCMDS.H,xbase/xbase2/XBCMDS.H,1995-08-14,2285,07A46AEDF3E0595D2951F9CA78EA6500C6D1529F6A375DC4F5365D24A3C2B37B,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbcmds.h.txt,/artifacts/source-lineage/historical-source/xbase2/xbcmds.h.html
HSRC-XBASE2-XBINDEX-C,xbase2,xBase2 / DotTalk 1995,1995,XBINDEX.C,xbase/xbase2/XBINDEX.C,1995-08-16,18264,E7280EEB47A3E85601A887D1BD6FA713DC7FB4876B4E11A58DA438503E742279,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbindex.c.txt,/artifacts/source-lineage/historical-source/xbase2/xbindex.c.html
HSRC-XBASE2-XBINDEX-H,xbase2,xBase2 / DotTalk 1995,1995,XBINDEX.H,xbase/xbase2/XBINDEX.H,1995-08-14,4371,7A36458CD60FD00CD71178A46B27A8C4E6B1EB3FF46977FB4DA94BF8CED8301F,archive-byte-preserved,/artifacts/source-lineage/historical-source/xbase2/xbindex.h.txt,/artifacts/source-lineage/historical-source/xbase2/xbindex.h.html
